Продукт,Белки,Жиры,Углеводы,Калорийность
Овсяные хлопья Геркулес Националь,11.0,6.0,49.0,290
Овсяные хлопья Геркулес Русский продукт Монастырский,12.0,6.0,62.0,350
Овсяные хлопья Геркулес Фитнес с отрубями,12.3,6.3,61.2,351
Овсяные хлопья Геркулес Царь,12.0,6.0,62.0,350
Овсяные хлопья Лента Средний размер,12.0,6.0,51.0,306
Овсяные хлопья Пассим,10.0,6.0,68.0,377
Овсяные хлопья РБК ГОСТ 21149-93,13.6,6.7,68.9,388
Овсяные хлопья Увелка тонкие,11.0,6.2,50.2,305
Овсяные хлопья Увелка традиционные,12.0,6.0,72.0,390
Овсяные хлопья Ясно Солнышко с овсяными отрубями,11.0,7.0,48.0,340
Овсяные хлопья Ясно Солнышко №1,12.0,6.0,51.0,310
Овсяные хлопья Ясно Солнышко №2,12.0,6.0,51.0,310
Овсяные хлопья №2 Агро-Альянс,12.0,5.0,70.0,390
Отруби сибирские ВкусВилл Сила гречихи,14.9,3.9,62.5,367
"Отруби сибирские Сила фруктов, хрустящие шарики",12.0,2.5,40.0,230
Перловая каша на воде,3.1,0.4,22.2,109
Перловая каша рассыпчатая,3.1,0.4,23.0,106
Перловая крупа,9.3,1.1,73.7,320
Перловая крупа Makfa,9.3,1.1,66.9,315
Перловая крупа Makfa в пакетиках,9.3,1.1,66.9,315
Перловая крупа Мистраль Барли,12.1,0.8,73.4,349
Плов Готово! с грибами,7.0,1.0,65.0,300
Полба,14.7,2.2,61.2,337
Полба Увелка в пакетиках для варки,15.0,2.0,73.0,370
Полбяная каша на воде,5.5,0.9,26.5,127
Пшеница воздушная На Здоровье! со вкусом шоколада,9.9,4.6,79.6,399
Пшеница пророщенная,7.5,1.3,41.4,198
Пшеничная каша Myllyn Paras,13.0,2.0,62.5,325
Пшеничная крупа,11.5,1.3,62.0,316
Пшеничная крупа Makfa Артек,11.0,1.2,68.5,329
Пшеничная крупа Makfa Полтавская в пакетиках,11.5,1.3,67.9,329
Пшеничная крупа Агро-Альянс,13.0,1.0,71.0,340
Пшеничная крупа Мистраль кускус,12.0,2.0,72.0,350
Пшеничные зерна мягких сортов,11.8,2.2,59.5,305
Пшеничные зерна твёрдых сортов,13.0,2.5,57.5,304
Пшеничные отруби,14.7,4.1,20.6,180
Пшеничные отруби Ого!,13.8,2.8,61.4,326
Пшеничные хлопья,16.0,1.0,70.0,336
Пшеничные хлопья Nordic,11.0,2.6,61.0,340
Пшённая каша Myllyn Paras,11.2,3.9,55.3,305
Пшенная каша вязкая на воде,3.0,0.7,17.0,90
Пшенная каша рассыпчатая,4.7,1.1,26.1,135
Пшенная крупа,11.5,3.3,69.3,348
Пшенная крупа Мистраль шлифованная,11.5,3.3,66.5,342
Пшенно-гречневые хлопья Алтайская сказка,12.5,3.2,66.9,347
Пшенно-рисовые хлопья Агро-Альянс,10.0,4.0,73.0,370
Пшенные хлопья Nordic,12.0,2.9,69.3,334
Пшено элитное Агро-Альянс,12.0,3.0,69.0,350
Ржаные отруби,11.2,3.2,32.0,221
Ржаные отруби Диадар Бородинские хрустящие,13.2,3.2,27.0,190
Ржаные отруби Ого!,13.0,2.0,40.0,274
Ржаные хлопья,6.4,3.2,82.6,343
Ржаные хлопья Myllyn Paras,9.7,2.0,61.3,305
Ризотто Yelli с белыми грибами,8.0,1.5,74.0,340
Ризотто Yelli с томатами и базиликом,7.0,1.0,77.0,350
Рис 4 сезона для жарки,2.0,0.5,22.0,110
Рис Bravolli Карнароли для ризотто,7.0,1.0,80.0,360
Рис Bravolli Четыре риса,11.0,0.5,72.0,340
Рис Makfa длиннозерный,7.0,1.0,74.0,333
Рис Makfa длиннозерный в пакетиках,7.0,1.0,74.0,333
Рис Makfa длиннозерный пропаренный,7.0,1.0,74.0,333
Рис Makfa длиннозерный пропаренный в пакетиках,7.0,1.0,74.0,333
Рис Makfa круглозерный,7.0,1.0,74.0,333
Рис Makfa круглозерный в пакетиках,7.0,1.0,74.0,333
Рис Yelli Басмати с овощами Бириани,7.0,1.0,77.0,350
